sample	feature	homo_p	homo	stab_p	stab	n_platforms	confidence	MetaboliteName
F	HMDB0000192	1	yes	1	yes	2	high	cystine
F	HMDB0000201	1	yes	1	yes	2	high	acetylcarnitine (C2)
F	HMDB0000202	1	yes	1	yes	2	high	methylmalonate (MMA)
F	HMDB0000207	1	yes	1	yes	2	high	octadecenoate
F	HMDB0000208	1	yes	1	yes	2	high	alpha-ketoglutarate
F	HMDB0000209	1	yes	1	yes	2	high	phenylacetate
F	HMDB0000210	1	yes	1	yes	2	high	pantothenate
F	HMDB0000214	1	yes	1	yes	2	high	ornithine
F	HMDB0000220	1	yes	1	yes	2	high	palmitate (16:0)
F	HMDB0000226	1	yes	1	yes	2	high	orotate
F	HMDB0000243	1	yes	1	yes	2	high	pyruvate
F	HMDB0000248	1	yes	1	yes	2	high	thyroxine
F	HMDB0000251	1	yes	1	yes	2	high	taurine
F	HMDB0000252	1	yes	1	yes	2	high	sphingosine
F	HMDB0000254	1	yes	1	yes	2	high	succinate
F	HMDB0000267	1	yes	1	yes	2	high	5-oxoproline
F	HMDB0000269	0.25	yes	1	yes	2	high	sphinganine
F	HMDB0000271	1	yes	1	yes	2	high	sarcosine
F	HMDB0000277	1	yes	1	yes	2	high	sphingosine 1-phosphate
F	HMDB0000289	1	yes	1	yes	2	high	urate
F	HMDB0000292	1	yes	1	yes	2	high	xanthine
F	HMDB0000296	1	yes	1	yes	2	high	uridine
F	HMDB0000300	1	yes	1	yes	2	high	uracil
F	HMDB0000323	1	yes	1	yes	2	high	3-amino-2-piperidone
F	HMDB0000337	1	yes	1	yes	2	high	3,4-dihydroxybutyrate
F	HMDB0000375	1	yes	1	yes	2	high	3-(3-hydroxyphenyl)propionate
F	HMDB0000378	1	yes	1	yes	2	high	2-methylbutyrylcarnitine (C5)
F	HMDB0000387	1	yes	1	yes	2	high	3-hydroxylaurate
F	HMDB0000407	1	yes	1	yes	2	high	alpha-hydroxyisovalerate
F	HMDB0000416	1	yes	1	yes	2	high	17alpha-hydroxypregnenolone 3-sulfate
F	HMDB0000462	1	yes	1	yes	2	high	allantoin
F	HMDB0000479	1	yes	1	yes	2	high	3-methylhistidine
F	HMDB0000482	1	yes	1	yes	2	high	caprylate (8:0)
F	HMDB0000497	1	yes	1	yes	2	high	5,6-dihydrouridine
F	HMDB0000511	1	yes	1	yes	2	high	caprate (10:0)
F	HMDB0000512	1	yes	1	yes	2	high	N-acetylphenylalanine
F	HMDB0000517	1	yes	1	yes	2	high	arginine
F	HMDB0000525	1	yes	1	yes	2	high	5-hydroxyhexanoate
F	HMDB0000529	1	yes	1	yes	2	high	5-dodecenoate (12:1n7)
F	HMDB0000532	1	yes	1	yes	2	high	N-acetylglycine
F	HMDB0000535	1	yes	1	yes	2	high	caproate (6:0)
F	HMDB0000539	1	yes	1	yes	2	high	arabonate/xylonate
F	HMDB0000555	1	yes	1	yes	2	high	3-methyladipate
F	HMDB0000562	1	yes	1	yes	2	high	creatinine
F	HMDB0000564	1	yes	1	yes	2	high	1,2-dipalmitoyl-GPC (16:0/16:0)
F	HMDB0000622	1	yes	1	yes	2	high	ethylmalonate
F	HMDB0000623	1	yes	1	yes	2	high	dodecanedioate (C12-DC)
F	HMDB0000625	1	yes	1	yes	2	high	gluconate
F	HMDB0000626	1	yes	1	yes	2	high	deoxycholate
F	HMDB0000630	0.678571428571428	yes	0.678571428571428	yes	2	high	cytosine
F	HMDB0000637	1	yes	1	yes	2	high	glycochenodeoxycholate
F	HMDB0000638	1	yes	1	yes	2	high	laurate (12:0)
F	HMDB0000641	1	yes	1	yes	2	high	glutamine
F	HMDB0000651	1	yes	1	yes	2	high	decanoylcarnitine (C10)
F	HMDB0000653	1	yes	1	yes	2	high	cholesterol sulfate
F	HMDB0000660	1	yes	1	yes	2	high	fructose
F	HMDB0000661	1	yes	1	yes	2	high	glutarate (C5-DC)
F	HMDB0000665	1	yes	1	yes	2	high	alpha-hydroxyisocaproate
F	HMDB0000669	1	yes	1	yes	2	high	2-hydroxyphenylacetate
F	HMDB0000672	1	yes	1	yes	2	high	hexadecanedioate (C16-DC)
F	HMDB0000673	1	yes	1	yes	2	high	linoleate (18:2n6)
F	HMDB0000682	1	yes	1	yes	2	high	3-indoxyl sulfate
F	HMDB0000684	1	yes	1	yes	2	high	kynurenine
F	HMDB0000686	1	yes	1	yes	2	high	isoursodeoxycholate
F	HMDB0000687	1	yes	1	yes	2	high	leucine
F	HMDB0000689	1	yes	1	yes	2	high	isocaproate (i6:0)
F	HMDB0000695	1	yes	1	yes	2	high	4-methyl-2-oxopentanoate
F	HMDB0000698	1	yes	1	yes	2	high	glycolithocholate
F	HMDB0000699	1	yes	1	yes	2	high	1-methylnicotinamide
F	HMDB0000714	1	yes	1	yes	2	high	hippurate
F	HMDB0000715	1	yes	1	yes	2	high	kynurenate
F	HMDB0000718	1	yes	1	yes	2	high	isovalerate (i5:0)
F	HMDB0000725	1	yes	1	yes	2	high	trans-4-hydroxyproline
F	HMDB0000730	1	yes	1	yes	2	high	isobutyrylglycine
F	HMDB0000736	1	yes	1	yes	2	high	isobutyrylcarnitine (C4)
F	HMDB0000754	1	yes	1	yes	2	high	beta-hydroxyisovalerate
F	HMDB0000755	1	yes	1	yes	2	high	3-(4-hydroxyphenyl)lactate
F	HMDB0000763	0.999999999999999	yes	0.357142857142856	yes	2	high	5-hydroxyindoleacetate
F	HMDB0000765	1	yes	1	yes	2	high	mannitol/sorbitol
F	HMDB0000767	1	yes	1	yes	2	high	pseudouridine
F	HMDB0000772	1	yes	1	yes	2	high	nonadecanoate (19:0)
F	HMDB0000782	1	yes	1	yes	2	high	octadecanedioate (C18-DC)
F	HMDB0000784	1	yes	1	yes	2	high	azelate (C9-DC)
F	HMDB0000792	1	yes	1	yes	2	high	sebacate (C10-DC)
F	HMDB0000801	1	yes	1	yes	2	high	phytanate
F	HMDB0000806	1	yes	1	yes	2	high	myristate (14:0)
F	HMDB0000826	1	yes	1	yes	2	high	pentadecanoate (15:0)
F	HMDB0000827	1	yes	1	yes	2	high	stearate (18:0)
F	HMDB0000840	1	yes	1	yes	2	high	2-hydroxyhippurate (salicylurate)
F	HMDB0000847	1	yes	1	yes	2	high	pelargonate (9:0)
F	HMDB0000872	1	yes	1	yes	2	high	tetradecanedioate (C14-DC)
F	HMDB0000875	1	yes	1	yes	2	high	trigonelline (N'-methylnicotinate)
F	HMDB0000883	1	yes	1	yes	2	high	valine
F	HMDB0000884	1	yes	1	yes	2	high	5-methyluridine (ribothymidine)
F	HMDB0000888	1	yes	1	yes	2	high	undecanedioate (C11-DC)
F	HMDB0000892	1	yes	1	yes	2	high	valerate (5:0)
F	HMDB0000893	1	yes	1	yes	2	high	suberate (C8-DC)
F	HMDB0000896	1	yes	1	yes	2	high	taurodeoxycholate
F	HMDB0000897	1	yes	1	yes	2	high	7-methylguanine
F	HMDB0000904	1	yes	1	yes	2	high	citrulline
F	HMDB0000925	1	yes	1	yes	2	high	trimethylamine N-oxide
F	HMDB0000929	1	yes	1	yes	2	high	tryptophan
F	HMDB0000943	1	yes	1	yes	2	high	threonate
F	HMDB0000946	1	yes	1	yes	2	high	ursodeoxycholate
F	HMDB0000947	1	yes	1	yes	2	high	undecanoate (11:0)
F	HMDB0000991	1	yes	1	yes	2	high	2-aminooctanoate
F	HMDB0001032	1	yes	1	yes	2	high	dehydroisoandrosterone sulfate (DHEA-S)
F	HMDB0001043	1	yes	1	yes	2	high	arachidonate (20:4n6)
F	HMDB0001173	1	yes	1	yes	2	high	5-methylthioadenosine (MTA)
F	HMDB0001325	1	yes	1	yes	2	high	N6,N6,N6-trimethyllysine
F	HMDB0001348	1	yes	1	yes	2	high	stearoyl sphingomyelin (d18:1/18:0)
F	HMDB0001383	0.999999999999999	yes	0.0357142857142857	no	2	low	sphinganine-1-phosphate
F	HMDB0001406	1	yes	1	yes	2	high	nicotinamide
F	HMDB0001429	1	yes	1	yes	2	high	phosphate
F	HMDB0001492	1	yes	1	yes	2	high	gamma-tocopherol/beta-tocopherol
F	HMDB0001547	1	yes	1	yes	2	high	corticosterone/cortexolone
F	HMDB0001565	1	yes	1	yes	2	high	choline phosphate
F	HMDB0001624	1	yes	1	yes	2	high	alpha-hydroxycaproate
F	HMDB0001847	1	yes	1	yes	2	high	caffeine
F	HMDB0001851	1	yes	1	yes	2	high	arabitol/xylitol
F	HMDB0001857	1	yes	1	yes	2	high	1,3-dimethylurate
F	HMDB0001860	1	yes	1	yes	2	high	paraxanthine
F	HMDB0001870	1	yes	1	yes	2	high	benzoate
F	HMDB0001886	1	yes	1	yes	2	high	3-methylxanthine
F	HMDB0001889	1	yes	1	yes	2	high	theophylline
F	HMDB0001893	1	yes	1	yes	2	high	alpha-tocopherol
F	HMDB0001895	1	yes	1	yes	2	high	salicylate
F	HMDB0001931	1	yes	1	yes	2	high	gamma-CEHC
F	HMDB0001999	1	yes	1	yes	2	high	eicosapentaenoate (EPA; 20:5n3)
F	HMDB0002000	1	yes	1	yes	2	high	myristoleate (14:1n5)
F	HMDB0002013	1	yes	1	yes	2	high	butyrylcarnitine (C4)
F	HMDB0002038	1	yes	1	yes	2	high	N6-methyllysine
F	HMDB0002064	1	yes	1	yes	2	high	N-acetylputrescine
F	HMDB0002068	1	yes	1	yes	2	high	erucate (22:1n9)
F	HMDB0002070	1	yes	1	yes	2	high	4-hydroxy-2-oxoglutaric acid
F	HMDB0002088	1	yes	1	yes	2	high	oleoyl ethanolamide
F	HMDB0002100	1	yes	1	yes	2	high	palmitoyl ethanolamide
F	HMDB0002117	1	yes	1	yes	2	high	oleamide
F	HMDB0002199	1	yes	1	yes	2	high	3-(4-hydroxyphenyl)propionate
F	HMDB0002203	1	yes	1	yes	2	high	3-hydroxydecanoate
F	HMDB0002212	1	yes	1	yes	2	high	arachidate (20:0)
F	HMDB0002226	1	yes	1	yes	2	high	adrenate (22:4n6)
F	HMDB0002231	1	yes	1	yes	2	high	eicosenoate (20:1)
F	HMDB0002259	1	yes	1	yes	2	high	margarate (17:0)
F	HMDB0002273	1	yes	1	yes	2	high	4-hydroxyglutamate
F	HMDB0002329	1	yes	1	yes	2	high	oxalate (ethanedioate)
F	HMDB0002580	1	yes	1	yes	2	high	taurolithocholate 3-sulfate
F	HMDB0002712	1	yes	1	yes	2	high	1,5-anhydroglucitol (1,5-AG)
F	HMDB0002721	1	yes	1	yes	2	high	N1-methylinosine
F	HMDB0002759	1	yes	1	yes	2	high	androsterone sulfate
F	HMDB0002815	1	yes	1	yes	2	high	1-oleoyl-GPC (18:1)
F	HMDB0002820	1	yes	1	yes	2	high	1-methyl-4-imidazoleacetate
F	HMDB0002825	1	yes	1	yes	2	high	theobromine
F	HMDB0002829	1	yes	1	yes	2	high	androsterone glucuronide
F	HMDB0002925	1	yes	1	yes	2	high	dihomo-linolenate (20:3n3 or n6)
F	HMDB0002931	1	yes	1	yes	2	high	N-acetylserine
F	HMDB0003045	1	yes	1	yes	2	high	ergothioneine
F	HMDB0003072	1	yes	1	yes	2	high	quinate
F	HMDB0003073	1	yes	1	yes	2	high	linolenate [alpha or gamma; (18:3n3 or 6)]
F	HMDB0003157	1	yes	1	yes	2	high	guanidinosuccinate
F	HMDB0003229	1	yes	1	yes	2	high	palmitoleate (16:1n7)
F	HMDB0003331	1	yes	1	yes	2	high	N1-methyladenosine
F	HMDB0003357	1	yes	1	yes	2	high	N-delta-acetylornithine
F	HMDB0003464	1	yes	1	yes	2	high	4-guanidinobutanoate
F	HMDB0003681	1	yes	1	yes	2	high	4-acetamidobutanoate
F	HMDB0004041	1	yes	1	yes	2	high	allo-threonine
F	HMDB0004089	1	yes	1	yes	2	high	N-formylanthranilic acid
F	HMDB0004194	1	yes	1	yes	2	high	N1-Methyl-4-pyridone-3-carboxamide
F	HMDB0004824	1	yes	1	yes	2	high	N2,N2-dimethylguanosine
F	HMDB0004827	1	yes	1	yes	2	high	stachydrine
F	HMDB0004988	1	yes	1	yes	2	high	1-methyl-5-imidazoleacetate
F	HMDB0005060	1	yes	1	yes	2	high	dihomo-linoleate (20:2n6)
F	HMDB0006029	1	yes	1	yes	2	high	N-acetylglutamine
F	HMDB0006116	1	yes	1	yes	2	high	3-hydroxyhippurate
F	HMDB0006294	1	yes	1	yes	2	high	16-hydroxypalmitate
F	HMDB0006344	1	yes	1	yes	2	high	phenylacetylglutamine
F	HMDB0006528	1	yes	1	yes	2	high	docosapentaenoate (n3 DPA; 22:5n3)
F	HMDB0006547	1	yes	1	yes	2	high	stearidonate (18:4n3)
F	HMDB0006695	1	yes	1	yes	2	high	pro-hydroxy-pro
F	HMDB0006750	1	yes	1	yes	2	high	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
F	HMDB0007853	1	yes	1	yes	2	high	1-palmitoyl-GPA (16:0)
F	HMDB0007869	1	yes	1	yes	2	high	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
F	HMDB0007991	1	yes	1	yes	2	high	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
F	HMDB0008038	1	yes	1	yes	2	high	1-stearoyl-2-oleoyl-GPC (18:0/18:1)
F	HMDB0008928	1	yes	1	yes	2	high	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
F	HMDB0008993	1	yes	1	yes	2	high	1-stearoyl-2-oleoyl-GPE (18:0/18:1)
F	HMDB0009003	1	yes	1	yes	2	high	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
F	HMDB0009784	1	yes	1	yes	2	high	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
F	HMDB0009815	1	yes	1	yes	2	high	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
F	HMDB0010169	1	yes	1	yes	2	high	palmitoyl sphingomyelin (d18:1/16:0)
F	HMDB0010318	1	yes	1	yes	2	high	pregnanediol-3-glucuronide
F	HMDB0010382	1	yes	1	yes	2	high	1-palmitoyl-GPC (16:0)
F	HMDB0010384	1	yes	1	yes	2	high	1-stearoyl-GPC (18:0)
F	HMDB0010386	1	yes	1	yes	2	high	1-linoleoyl-GPC (18:2)
F	HMDB0010738	1	yes	1	yes	2	high	1-methylxanthine
F	HMDB0011103	1	yes	1	yes	2	high	1,7-dimethylurate
F	HMDB0011171	1	yes	1	yes	2	high	gamma-glutamylleucine
F	HMDB0011178	1	yes	1	yes	2	high	prolylglycine
F	HMDB0011375	1	yes	1	yes	2	high	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)
F	HMDB0011503	1	yes	1	yes	2	high	1-palmitoyl-GPE (16:0)
F	HMDB0011506	1	yes	1	yes	2	high	1-oleoyl-GPE (18:1)
F	HMDB0011621	1	yes	1	yes	2	high	cinnamoylglycine
F	HMDB0011635	1	yes	1	yes	2	high	p-cresol sulfate
F	HMDB0011667	1	yes	1	yes	2	high	gamma-glutamylglycine
F	HMDB0011718	1	yes	1	yes	2	high	p-hydroxybenzaldehyde
F	HMDB0011737	1	yes	1	yes	2	high	gamma-glutamylglutamate
F	HMDB0011738	1	yes	1	yes	2	high	gamma-glutamylglutamine
F	HMDB0011749	1	yes	1	yes	2	high	2-piperidinone
F	HMDB0011753	1	yes	1	yes	2	high	iminodiacetate (IDA)
F	HMDB0011756	1	yes	1	yes	2	high	N-acetylleucine
F	HMDB0011757	1	yes	1	yes	2	high	N-acetylvaline
F	HMDB0012101	1	yes	1	yes	2	high	sphingomyelin (d18:1/18:1, d18:2/18:0)
F	HMDB0012273	1	yes	1	yes	2	high	palmitamide (16:0)
F	HMDB0012454	1	yes	1	yes	2	high	3beta,7alpha-dihydroxy-5-cholestenoate
F	HMDB0012458	1	yes	1	yes	2	high	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)
F	HMDB0012881	1	yes	1	yes	2	high	N-acetylcarnosine
F	HMDB0013127	1	yes	1	yes	2	high	3-hydroxybutyrylcarnitine (2)
F	HMDB0013211	1	yes	1	yes	2	high	2-ketocaprylate
F	HMDB0013288	1	yes	0.25	yes	2	high	nonanoylcarnitine (C9)
F	HMDB0013622	1	yes	1	yes	2	high	10-nonadecenoate (19:1n9)
F	HMDB0013676	1	yes	1	yes	2	high	2,6-dihydroxybenzoic acid
F	HMDB0013678	1	yes	1	yes	2	high	4-hydroxyhippurate
F	HMDB0013713	1	yes	1	yes	2	high	N-acetyltryptophan
F	HMDB0015109	1	yes	1	yes	2	high	EDTA
F	HMDB0029159	1	yes	1	yes	2	high	gamma-glutamylthreonine
F	HMDB0029160	1	yes	1	yes	2	high	gamma-glutamyltryptophan
F	HMDB0029200	1	yes	1	yes	2	high	ferulic acid 4-sulfate
F	HMDB0029377	1	yes	1	yes	2	high	piperine
F	HMDB0029412	1	yes	1	yes	2	high	betonicine
F	HMDB0029423	1	yes	1	yes	2	high	O-acetylhomoserine
F	HMDB0029576	1	yes	1	yes	2	high	2,3-dihydroxy-2-methylbutyrate
F	HMDB0029723	1	yes	1	yes	2	high	saccharin
F	HMDB0029737	1	yes	1	yes	2	high	3-formylindole
F	HMDB0032055	1	yes	1	yes	2	high	N-acetylhistidine
F	HMDB0032574	1	yes	1	yes	2	high	propyl 4-hydroxybenzoate
F	HMDB0033143	1	yes	0.25	yes	2	high	pyrraline
F	HMDB0033724	1	yes	1	yes	2	high	10-undecenoate (11:1n1)
F	HMDB0034323	1	yes	1	yes	2	high	S-allylcysteine
F	HMDB0034365	1	yes	1	yes	2	high	theanine
F	HMDB0034367	1	yes	1	yes	2	high	gamma-glutamylmethionine
F	HMDB0059724	1	yes	1	yes	2	high	catechol sulfate
F	HMDB0060015	1	yes	1	yes	2	high	phenol sulfate
F	HMDB0061112	1	yes	1	yes	2	high	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
F	HMDB0061115	1	yes	1	yes	2	high	tryptophan betaine
F	HMDB0061384	1	yes	1	yes	2	high	acisoga
F	HMDB0062121	1	yes	1	yes	2	high	dihydroferulate
F	HMDB0062175	1	yes	1	yes	2	high	N-lactoyl phenylalanine
F	HMDB0062312	1	yes	1	yes	2	high	1-arachidonoyl-GPA (20:4)
F	HMDB0062551	1	yes	1	yes	2	high	4-ethylphenylsulfate
F	HMDB0062557	1	yes	1	yes	2	high	N-acetylthreonine
F	HMDB0062656	1	yes	1	yes	2	high	linoleamide (18:2n6)
F	HMDB0062657	1	yes	1	yes	2	high	epiandrosterone sulfate
F	HMDB0094649	1	yes	1	yes	2	high	2-aminoheptanoate
F	HMDB0094696	1	yes	1	yes	2	high	N-methylproline
F	HMDB0155722	1	yes	1	yes	2	high	O-sulfo-L-tyrosine
F	HMDB0240253	1	yes	1	yes	2	high	N-acetyltaurine
F	HMDB0240261	1	yes	1	yes	2	high	1-stearoyl-GPI (18:0)
F	HMDB0240296	1	yes	1	yes	2	high	C-glycosyltryptophan
F	HMDB0240607	1	yes	1	yes	2	high	glycohyocholate
F	HMDB0240609	1	yes	1	yes	2	high	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)
F	HMDB0240624	1	yes	1	yes	2	high	4-hydroxychlorothalonil
M	HMDB0000001	1	yes	1	yes	2	high	1-methylhistidine
M	HMDB0000005	1	yes	1	yes	2	high	alpha-ketobutyrate
M	HMDB0000008	1	yes	1	yes	2	high	2-hydroxybutyrate/2-hydroxyisobutyrate
M	HMDB0000011	1	yes	1	yes	2	high	3-hydroxybutyrate (BHBA)
M	HMDB0000020	1	yes	1	yes	2	high	4-hydroxyphenylacetate
M	HMDB0000026	1	yes	1	yes	2	high	3-ureidopropionate
M	HMDB0000034	1	yes	1	yes	2	high	adenine
M	HMDB0000036	1	yes	1	yes	2	high	taurocholate
M	HMDB0000039	1	yes	1	yes	2	high	butyrate (4:0)
M	HMDB0000054	1	yes	1	yes	2	high	bilirubin (Z,Z)
M	HMDB0000056	1	yes	1	yes	2	high	beta-alanine
M	HMDB0000062	1	yes	1	yes	2	high	carnitine
M	HMDB0000064	1	yes	1	yes	2	high	creatine
M	HMDB0000086	1	yes	1	yes	2	high	glycerophosphorylcholine (GPC)
M	HMDB0000092	1	yes	1	yes	2	high	dimethylglycine
M	HMDB0000094	1	yes	1	yes	2	high	citrate
M	HMDB0000122	1	yes	1	yes	2	high	glucose
M	HMDB0000128	1	yes	1	yes	2	high	guanidinoacetate
M	HMDB0000138	1	yes	1	yes	2	high	glycocholate
M	HMDB0000148	1	yes	1	yes	2	high	glutamate
M	HMDB0000152	1	yes	1	yes	2	high	gentisate
M	HMDB0000156	1	yes	1	yes	2	high	malate
M	HMDB0000157	1	yes	1	yes	2	high	hypoxanthine
M	HMDB0000158	1	yes	1	yes	2	high	tyrosine
M	HMDB0000159	1	yes	1	yes	2	high	phenylalanine
M	HMDB0000161	1	yes	1	yes	2	high	alanine
M	HMDB0000162	1	yes	1	yes	2	high	proline
M	HMDB0000163	1	yes	1	yes	2	high	maltose/cellobiose
M	HMDB0000167	1	yes	1	yes	2	high	threonine
M	HMDB0000168	1	yes	1	yes	2	high	asparagine
M	HMDB0000172	1	yes	1	yes	2	high	isoleucine
M	HMDB0000176	1	yes	1	yes	2	high	maleate
M	HMDB0000177	1	yes	1	yes	2	high	histidine
M	HMDB0000182	1	yes	1	yes	2	high	lysine
M	HMDB0000187	1	yes	1	yes	2	high	serine
M	HMDB0000190	1	yes	1	yes	2	high	lactate
M	HMDB0000191	1	yes	1	yes	2	high	aspartate
M	HMDB0000192	1	yes	1	yes	2	high	cystine
M	HMDB0000201	1	yes	1	yes	2	high	acetylcarnitine (C2)
M	HMDB0000202	1	yes	1	yes	2	high	methylmalonate (MMA)
M	HMDB0000207	1	yes	1	yes	2	high	octadecenoate
M	HMDB0000208	1	yes	1	yes	2	high	alpha-ketoglutarate
M	HMDB0000209	1	yes	1	yes	2	high	phenylacetate
M	HMDB0000210	1	yes	1	yes	2	high	pantothenate
M	HMDB0000214	1	yes	1	yes	2	high	ornithine
M	HMDB0000220	1	yes	1	yes	2	high	palmitate (16:0)
M	HMDB0000226	1	yes	1	yes	2	high	orotate
M	HMDB0000243	1	yes	1	yes	2	high	pyruvate
M	HMDB0000248	1	yes	1	yes	2	high	thyroxine
M	HMDB0000251	1	yes	1	yes	2	high	taurine
M	HMDB0000252	1	yes	1	yes	2	high	sphingosine
M	HMDB0000254	1	yes	1	yes	2	high	succinate
M	HMDB0000267	1	yes	1	yes	2	high	5-oxoproline
M	HMDB0000269	1	yes	0.25	yes	2	high	sphinganine
M	HMDB0000271	1	yes	1	yes	2	high	sarcosine
M	HMDB0000277	1	yes	1	yes	2	high	sphingosine 1-phosphate
M	HMDB0000289	1	yes	1	yes	2	high	urate
M	HMDB0000292	1	yes	1	yes	2	high	xanthine
M	HMDB0000296	1	yes	1	yes	2	high	uridine
M	HMDB0000300	1	yes	1	yes	2	high	uracil
M	HMDB0000323	1	yes	1	yes	2	high	3-amino-2-piperidone
M	HMDB0000337	1	yes	1	yes	2	high	3,4-dihydroxybutyrate
M	HMDB0000375	1	yes	1	yes	2	high	3-(3-hydroxyphenyl)propionate
M	HMDB0000378	1	yes	1	yes	2	high	2-methylbutyrylcarnitine (C5)
M	HMDB0000387	1	yes	1	yes	2	high	3-hydroxylaurate
M	HMDB0000407	1	yes	1	yes	2	high	alpha-hydroxyisovalerate
M	HMDB0000416	1	yes	1	yes	2	high	17alpha-hydroxypregnenolone 3-sulfate
M	HMDB0000462	1	yes	1	yes	2	high	allantoin
M	HMDB0000479	1	yes	1	yes	2	high	3-methylhistidine
M	HMDB0000482	1	yes	1	yes	2	high	caprylate (8:0)
M	HMDB0000497	1	yes	1	yes	2	high	5,6-dihydrouridine
M	HMDB0000511	1	yes	1	yes	2	high	caprate (10:0)
M	HMDB0000512	1	yes	1	yes	2	high	N-acetylphenylalanine
M	HMDB0000517	1	yes	1	yes	2	high	arginine
M	HMDB0000525	1	yes	1	yes	2	high	5-hydroxyhexanoate
M	HMDB0000529	1	yes	1	yes	2	high	5-dodecenoate (12:1n7)
M	HMDB0000532	1	yes	1	yes	2	high	N-acetylglycine
M	HMDB0000535	1	yes	1	yes	2	high	caproate (6:0)
M	HMDB0000539	1	yes	1	yes	2	high	arabonate/xylonate
M	HMDB0000555	1	yes	1	yes	2	high	3-methyladipate
M	HMDB0000562	1	yes	1	yes	2	high	creatinine
M	HMDB0000564	1	yes	1	yes	2	high	1,2-dipalmitoyl-GPC (16:0/16:0)
M	HMDB0000622	1	yes	1	yes	2	high	ethylmalonate
M	HMDB0000623	1	yes	1	yes	2	high	dodecanedioate (C12-DC)
M	HMDB0000625	1	yes	1	yes	2	high	gluconate
M	HMDB0000626	1	yes	1	yes	2	high	deoxycholate
M	HMDB0000630	1	yes	1	yes	2	high	cytosine
M	HMDB0000637	1	yes	1	yes	2	high	glycochenodeoxycholate
M	HMDB0000638	1	yes	1	yes	2	high	laurate (12:0)
M	HMDB0000641	1	yes	1	yes	2	high	glutamine
M	HMDB0000651	1	yes	1	yes	2	high	decanoylcarnitine (C10)
M	HMDB0000653	1	yes	1	yes	2	high	cholesterol sulfate
M	HMDB0000660	1	yes	1	yes	2	high	fructose
M	HMDB0000661	1	yes	1	yes	2	high	glutarate (C5-DC)
M	HMDB0000665	1	yes	1	yes	2	high	alpha-hydroxyisocaproate
M	HMDB0000669	1	yes	1	yes	2	high	2-hydroxyphenylacetate
M	HMDB0000672	1	yes	1	yes	2	high	hexadecanedioate (C16-DC)
